Connective,Curative,Curious,Experiment,Expert,Flexible,Generative,Integrative,Methodical,Reliable,RegionsIDCode,Percentile_Connective,Percentile_Curative,Percentile_Curious,Percentile_Experiment,Percentile_Expert,Percentile_Flexible,Percentile_Generative,Percentile_Integrat,Percentile_Method,Percentile_Reliable
5.00,6.25,4.75,5.83,5.50,6.50,4.80,5.67,3.25,5.75,R_1IylepSgCZ3pAz6,40,77,22,71,44,84,44,58,11,56
5.80,5.25,5.00,4.83,6.17,6.33,4.80,5.00,4.25,6.50,R_1kLxpON9Qdqq7TW,71,48,28,32,70,80,44,33,33,82
6.00,7.00,5.50,6.00,5.33,6.83,5.40,5.67,4.00,6.00,R_1LLJCUyDH2dN8zb,78,95,43,78,37,90,63,58,26,66
5.80,7.00,5.25,5.17,6.17,5.17,4.60,6.00,4.75,6.00,R_1MJWa6BdxRpwgND,71,95,35,46,70,39,37,75,47,66
6.20,6.50,6.00,4.83,5.33,5.83,4.00,5.50,3.50,6.25,R_1mWA84XaOKGGAqp,84,83,63,32,37,62,19,51,15,75
3.40,4.75,3.75,3.83,6.33,5.17,2.80,4.83,5.25,7.00,R_1OE94LRaMtHPCLf,9,33,4,7,75,39,6,27,63,96
5.80,7.00,5.25,5.00,6.33,5.00,4.40,5.50,5.75,5.50,R_1Q9iui8LtNHIPfQ,71,95,35,39,75,32,30,51,79,45
4.20,6.50,5.50,5.50,5.83,4.67,4.00,6.50,6.50,6.00,R_1QJZSGk197oOZpz,17,83,43,60,56,21,19,90,94,66
5.40,7.00,3.50,5.83,4.33,6.67,4.60,5.83,3.00,6.25,R_1rqSQPormajw7J3,57,95,2,71,12,87,37,66,8,75
5.40,5.75,5.25,5.50,6.67,6.00,4.40,6.33,4.75,7.00,R_211zUWB0cjaIBJM,57,63,35,60,84,69,30,87,47,96
6.00,7.00,6.00,6.17,7.00,7.00,5.80,6.17,3.00,7.00,R_21EuNDRUrsRIryB,78,95,63,85,97,96,76,83,8,96
5.40,5.75,4.50,4.67,5.50,6.00,4.40,5.33,3.50,5.75,R_22mJHSdFiDsnQv7,57,63,16,26,44,69,30,46,15,56
5.20,6.25,4.25,5.33,7.00,5.00,6.20,5.00,5.50,7.00,R_24AtZPeRLS7cun8,49,77,11,52,97,32,87,33,71,96
5.00,6.75,5.00,6.17,6.83,4.17,4.00,6.50,3.75,4.75,R_24qLgdNfUQoa5yq,40,88,28,85,90,11,19,90,21,21
5.20,4.75,4.50,6.17,5.17,6.00,4.60,4.83,3.00,5.50,R_25A3ANU8WEcc7dd,49,33,16,85,30,69,37,27,8,45
7.00,6.50,6.50,4.00,7.00,6.00,5.00,7.00,4.50,5.75,R_28zVAOQAgIzNeLX,97,83,81,10,97,69,51,98,40,56
4.80,7.00,5.00,5.00,5.33,6.50,4.60,5.17,2.75,6.00,R_2aVoRnRodcpW5pG,32,95,28,39,37,84,37,41,6,66
5.40,6.00,5.00,4.17,6.67,5.00,5.00,4.17,6.00,5.75,R_2ayjYBdAjKQCjJL,57,71,28,13,84,32,51,13,86,56
5.60,7.00,5.50,6.00,6.67,6.67,4.80,6.83,5.00,5.50,R_2cj7FHHPu1bXtwh,64,95,43,78,84,87,44,95,54,45
5.20,7.00,5.75,7.00,5.67,6.00,3.80,5.83,6.00,7.00,R_2ctm4ypibZq4fJP,49,95,52,99,50,69,15,66,86,96
5.40,7.00,6.00,6.00,7.00,6.83,6.20,6.33,6.50,5.50,R_2CwTBBD8WvzbBQv,57,95,63,78,97,90,87,87,94,45
5.80,5.75,5.25,4.83,7.00,6.17,4.00,5.00,6.50,7.00,R_2DOZbwKL6YLUsMZ,71,63,35,32,97,76,19,33,94,96
5.00,5.75,5.50,6.00,5.83,5.67,5.20,5.50,5.50,5.25,R_2DYotvgaiEZyMxw,40,63,43,78,56,57,56,51,71,35
7.00,7.00,6.25,6.00,6.83,7.00,5.80,5.33,1.25,5.50,R_2e9a4Bs5MNJcRN8,97,95,73,78,90,96,76,46,1,45
7.00,7.00,6.00,5.00,6.67,7.00,6.40,6.33,4.00,7.00,R_2EDXiQpigU4uEBE,97,95,63,39,84,96,91,87,26,96
4.80,6.75,4.00,4.67,6.67,6.00,2.80,6.33,6.00,6.75,R_2fk8rQUkAJ6P6fz,32,88,7,26,84,69,6,87,86,89
5.20,6.75,5.00,5.83,5.50,6.33,5.00,6.17,3.00,7.00,R_2SleSWcL6C0ZHlt,49,88,28,71,44,80,51,83,8,96
7.00,7.00,5.00,5.50,4.67,6.83,4.40,6.50,2.50,7.00,R_2TMKnXUtx4gOPp8,97,95,28,60,19,90,30,90,4,96
5.60,7.00,4.75,4.50,6.67,5.50,4.60,4.67,6.50,7.00,R_2U3YEAOYxCLJjZl,64,95,22,21,84,51,37,23,94,96
6.20,7.00,6.00,6.17,6.67,6.67,6.00,6.83,6.50,6.75,R_2uCb68eEWOj0bol,84,95,63,85,84,87,82,95,94,89
5.60,6.25,5.75,6.67,6.83,5.83,5.20,6.00,5.00,6.00,R_2UXYfwzKVaIfDpZ,64,77,52,94,90,62,56,75,54,66
4.00,6.50,5.00,6.83,5.83,5.83,6.00,6.17,5.00,6.75,R_2v0KI3xWaB6jEOl,13,83,28,96,56,62,82,83,54,89
5.40,6.75,5.50,5.83,6.83,6.17,6.00,5.83,4.00,6.00,R_2v31fEgdmfQ5KvE,57,88,43,71,90,76,82,66,26,66
6.00,7.00,5.75,6.00,6.50,6.33,6.20,6.17,3.50,6.75,R_2VpPOF7jH07AJuH,78,95,52,78,79,80,87,83,15,89
7.00,6.75,7.00,5.67,7.00,7.00,6.40,6.00,4.00,6.75,R_2wcwYSw7rrXgnic,97,88,96,65,97,96,91,75,26,89
5.00,6.25,4.25,4.17,6.83,6.83,5.00,4.83,5.00,5.75,R_2wT9SGmyveBSaTt,40,77,11,13,90,90,51,27,54,56
5.20,6.50,4.75,3.33,5.67,4.33,2.80,3.83,3.25,4.75,R_2Wwq67bNtevrucy,49,83,22,4,50,15,6,7,11,21
5.20,6.25,5.25,5.33,5.33,5.33,4.80,5.50,2.75,5.50,R_2X05ksoL11Cy7D3,49,77,35,52,37,45,44,51,6,45
4.60,5.50,4.25,3.67,5.67,5.83,3.60,4.33,5.00,6.50,R_2ZTvQqQFbZFXH5L,25,55,11,6,50,62,13,16,54,82
5.00,7.00,4.50,4.83,6.67,5.33,4.80,6.00,4.75,6.50,R_30pA13idxkA4ZIP,40,95,16,32,84,45,44,75,47,82
6.00,6.00,5.75,5.67,7.00,6.00,5.80,6.17,6.50,6.00,R_3801Lk5xapppWk9,78,71,52,65,97,69,76,83,94,66
7.00,7.00,5.50,3.67,5.00,7.00,4.20,4.50,4.00,6.00,R_3CNQUzurGIRjm76,97,95,43,6,25,96,24,19,26,66
6.00,6.75,5.25,6.33,6.00,7.00,5.60,7.00,6.50,6.50,R_3e4R0DKgslPDP2r,78,88,35,89,63,96,70,98,94,82
3.40,4.25,3.50,4.50,3.17,3.67,3.40,5.00,4.25,6.00,R_3Ej74VyBQ63ng5u,9,20,2,21,3,6,11,33,33,66
7.00,7.00,5.75,4.83,5.17,5.83,4.40,5.83,3.50,5.00,R_3emoyeY6ZfdOIAe,97,95,52,32,30,62,30,66,15,28
6.00,6.25,5.75,4.83,6.83,5.67,4.40,5.67,4.75,5.75,R_3hsGzQQHZDDNZDO,78,77,52,32,90,57,30,58,47,56
5.80,7.00,4.75,6.83,6.50,6.83,4.40,6.17,1.50,5.25,R_3HUD8D1Y9ERGlJo,71,95,22,96,79,90,30,83,1,35
5.40,7.00,5.25,4.00,6.50,7.00,5.20,6.67,5.50,7.00,R_3imR5OL21lF1pRU,57,95,35,10,79,96,56,93,71,96
6.20,6.75,6.00,7.00,6.83,5.50,6.00,6.33,2.00,5.75,R_3IRBpVDS3ltbdcw,84,88,63,99,90,51,82,87,2,56
5.00,5.50,4.75,4.67,6.50,7.00,4.00,4.50,2.75,6.00,R_3JdW1QmxTOf8rPR,40,55,22,26,79,96,19,19,6,66
6.40,6.75,6.25,5.33,5.33,5.33,6.40,5.50,4.00,6.00,R_3kzFwiyyS5xWypu,88,88,73,52,37,45,91,51,26,66
5.60,6.50,4.75,5.67,6.67,6.00,5.40,6.00,4.75,6.75,R_3Ld504v0tYVIim6,64,83,22,65,84,69,63,75,47,89
6.60,6.75,5.75,6.50,5.33,5.67,5.60,7.00,4.00,5.75,R_3lER7yMI9m32jXP,92,88,52,92,37,57,70,98,26,56
6.00,6.75,5.75,5.33,7.00,5.17,6.20,5.83,4.25,6.50,R_3mmi5zoKR4BLZwJ,78,88,52,52,97,39,87,66,33,82
4.80,5.75,4.50,4.50,5.00,5.33,4.20,5.17,5.25,5.75,R_3MsQB7qFUsRG2NE,32,63,16,21,25,45,24,41,63,56
5.20,6.25,5.00,5.33,6.83,6.33,5.00,5.83,4.75,6.00,R_3p6nxdJvMAaXscv,49,77,28,52,90,80,51,66,47,66
5.20,6.75,4.50,5.67,6.67,5.50,4.40,5.83,4.75,6.25,R_3P77cSv0t6hBrrj,49,88,16,65,84,51,30,66,47,75
5.20,6.75,4.75,4.00,6.33,5.00,2.60,6.33,3.25,6.00,R_3PZH47cIOmj7tHB,49,88,22,10,75,32,4,87,11,66
6.40,6.50,4.75,4.00,7.00,6.00,4.00,5.83,5.50,6.75,R_3qQXaDEj0JUgkmD,88,83,22,10,97,69,19,66,71,89
7.00,7.00,6.00,5.50,7.00,6.83,6.40,6.67,4.00,7.00,R_3RwLtphmg6cfkNu,97,95,63,60,97,90,91,93,26,96
7.00,6.25,6.50,5.17,5.83,7.00,6.60,6.83,3.50,4.75,R_3sAOMstIFup3TN9,97,77,81,46,56,96,95,95,15,21
6.40,7.00,5.75,6.33,6.50,7.00,6.00,4.67,5.75,6.25,R_4MYKTYpcDg6M7Qt,88,95,52,89,79,96,82,23,79,75
5.20,5.50,4.75,4.33,5.50,5.17,3.60,5.00,3.50,5.25,R_4T2z30kukvYKDux,49,55,22,17,44,39,13,33,15,35
6.00,7.00,5.00,4.83,6.67,6.00,5.20,6.00,5.25,6.00,R_6F0OzbS4vScM3h7,78,95,28,32,84,69,56,75,63,66
6.40,6.50,6.75,6.00,6.83,7.00,6.00,6.83,6.00,6.25,R_6i005mmWbTgh4Jz,88,83,89,78,90,96,82,95,86,75
4.80,6.00,6.00,5.00,6.50,7.00,6.00,6.33,4.50,5.75,R_8H7Jbh2q1AddpER,32,71,63,39,79,96,82,87,40,56
5.40,7.00,5.25,6.17,6.33,5.17,5.40,6.00,2.75,6.50,R_8qcaoiCs7A0m17H,57,95,35,85,75,39,63,75,6,82
4.20,5.50,4.50,5.17,6.00,7.00,3.80,6.00,5.00,6.50,R_A0eHDfERRVfcIiR,17,55,16,46,63,96,15,75,54,82
5.20,7.00,5.25,5.00,6.83,5.33,4.40,5.67,6.50,7.00,R_aY2NU7FjqcBz8HL,49,95,35,39,90,45,30,58,94,96
6.00,7.00,5.75,5.67,7.00,5.67,5.40,5.67,4.00,6.75,R_BypGGfszgegEeIh,78,95,52,65,97,57,63,58,26,89
6.20,7.00,6.00,6.00,6.17,7.00,7.00,7.00,5.50,7.00,R_CgkFBygljMEPvMJ,84,95,63,78,70,96,99,98,71,96
4.80,5.25,4.50,3.50,6.83,6.00,3.20,4.50,4.00,6.75,R_DFWjWpaOHRQxwrf,32,48,16,5,90,69,9,19,26,89
6.00,7.00,6.50,6.17,7.00,7.00,6.00,6.17,3.50,6.50,R_DMpmGr1GYN3dV7P,78,95,81,85,97,96,82,83,15,82
4.80,7.00,4.75,5.00,6.83,5.33,4.00,4.83,3.00,6.00,R_qwStpZihxUweQX7,32,95,22,39,90,45,19,27,8,66
6.60,7.00,6.00,6.50,5.17,6.67,6.60,6.50,2.00,7.00,R_SNnXZvhap2REAQV,92,95,63,92,30,87,95,90,2,96
5.80,6.00,4.75,5.33,6.00,5.83,4.20,5.17,4.25,5.50,R_tVTE0YHUsQlQZhL,71,71,22,52,63,62,24,41,33,45
7.00,7.00,6.00,5.83,7.00,6.50,6.80,6.17,3.75,6.50,R_u4SyixHo0mlsTbX,97,95,63,71,97,84,97,83,21,82
5.20,6.75,5.25,5.33,6.00,5.17,4.80,5.00,4.00,5.25,R_UmUbcyVotCpR5oB,49,88,35,52,63,39,44,33,26,35
5.80,6.50,4.75,4.50,6.33,5.00,4.40,5.17,5.00,6.75,R_UQKQZOB9s9d7wJj,71,83,22,21,75,32,30,41,54,89
4.20,7.00,5.00,5.00,5.00,5.00,5.00,5.00,4.25,5.00,R_VKbub7id3sIj9GV,17,95,28,39,25,32,51,33,33,28
5.60,5.50,4.25,4.33,6.67,5.67,5.20,3.17,2.50,6.00,R_XLFd6ObVZLbJb0t,64,55,11,17,84,57,56,3,4,66
5.60,6.50,4.50,4.17,6.33,5.50,4.40,4.83,5.00,5.75,R_YY0KVeRKRC4FBux,64,83,16,13,75,51,30,27,54,56
